,Sri Lanka,Australia,New Zealand,South Africa,India,England,West Indies,Pakistan,Bangladesh,Scotland,United Arab Emirates,Afghanistan,Ireland,Zimbabwe,,
Sri Lanka,0,10,41,7,2,39,42,87,80,65,54,66,58,60,,1
Australia,10,0,88,22,34,90,17,44,35,85,76,77,86,57,,
New Zealand,41,88,0,28,20,40,30,33,26,83,59,73,84,52,,
South Africa,7,22,28,0,6,16,14,23,29,47,72,51,74,4,,
India,2,34,20,6,0,27,1,91,82,50,31,81,62,71,,
England,39,90,40,16,27,0,43,19,45,75,53,55,3,56,,
West Indies,42,17,30,14,1,43,0,32,11,69,36,70,49,67,,
Pakistan,87,44,33,23,91,19,32,0,13,63,5,89,64,61,,
Bangladesh,80,35,26,29,82,45,11,13,0,9,15,68,38,48,,
Scotland,65,85,83,47,50,75,69,63,9,0,46,25,79,78,,
United Arab Emirates,54,76,59,72,31,53,36,5,15,46,0,8,12,18,,
Afghanistan,66,77,73,51,81,55,70,89,68,25,8,0,21,24,,
Ireland,58,86,84,74,62,3,49,64,38,79,12,21,0,37,,
Zimbabwe,60,57,52,4,71,56,67,61,48,78,18,24,37,0,,
